       Step     Time          Energy          fmax
LBFGS:    0 23:24:38       -3.708904      237.875111
LBFGS:    1 23:24:38       -4.288853      252.722907
LBFGS:    2 23:24:38       -4.580973       97.925424
LBFGS:    3 23:24:38       -4.676058       51.174098
LBFGS:    4 23:24:38       -4.721552       63.276544
LBFGS:    5 23:24:38       -4.667435       59.054529
LBFGS:    6 23:24:38       -4.724016       64.929905
LBFGS:    7 23:24:38       -4.707554       32.314331
LBFGS:    8 23:24:38       -4.913307      211.977226
LBFGS:    9 23:24:38       -4.710743       74.270872
LBFGS:   10 23:24:38       -4.738695       17.447363
LBFGS:   11 23:24:38       -4.737141        3.350976
LBFGS:   12 23:24:38       -4.737074        0.642434
LBFGS:   13 23:24:38       -4.737074        1.444744
LBFGS:   14 23:24:38       -4.737076        0.117322
LBFGS:   15 23:24:38       -4.737074        0.042788
LBFGS:   16 23:24:38       -4.737074        0.002256
       Step     Time          Energy          fmax
LBFGS:    0 23:24:38      -12.182198      554.321428
LBFGS:    1 23:24:38      -12.826095      307.006778
LBFGS:    2 23:24:39      -13.190573      337.631645
LBFGS:    3 23:24:39      -13.309731      214.539836
LBFGS:    4 23:24:39      -13.143382      341.029586
LBFGS:    5 23:24:39      -13.112316      338.029828
LBFGS:    6 23:24:39      -13.182590       73.662965
LBFGS:    7 23:24:39      -13.150360      280.736680
LBFGS:    8 23:24:39      -13.094394      110.407746
LBFGS:    9 23:24:39      -13.138201      236.449139
LBFGS:   10 23:24:39      -13.115954      174.731765
LBFGS:   11 23:24:39      -13.155815      256.297762
LBFGS:   12 23:24:39      -13.176379      268.556255
LBFGS:   13 23:24:39      -13.229959      273.507867
LBFGS:   14 23:24:39      -13.174059      273.030537
LBFGS:   15 23:24:39      -13.115952      270.297378
LBFGS:   16 23:24:39      -13.188924      265.891265
LBFGS:   17 23:24:39      -13.271996      254.624465
LBFGS:   18 23:24:39      -13.354463      252.285128
LBFGS:   19 23:24:39      -13.272814      249.588065
LBFGS:   20 23:24:39      -13.201010      254.079736
LBFGS:   21 23:24:39      -13.140950      258.213723
LBFGS:   22 23:24:39      -13.220965      255.918227
LBFGS:   23 23:24:39      -13.298965      244.846163
LBFGS:   24 23:24:39      -13.231738      248.636228
LBFGS:   25 23:24:39      -13.175835      246.035242
LBFGS:   26 23:24:39      -13.245285      245.585250
LBFGS:   27 23:24:39      -13.321282      240.962629
LBFGS:   28 23:24:39      -13.259313      236.546238
LBFGS:   29 23:24:39      -13.209422      227.491303
LBFGS:   30 23:24:39      -13.269346      231.385197
LBFGS:   31 23:24:39      -13.338145      234.317240
LBFGS:   32 23:24:40      -13.279268      223.660065
LBFGS:   33 23:24:40      -13.231276      211.804087
LBFGS:   34 23:24:40      -13.286016      218.513012
LBFGS:   35 23:24:40      -13.349307      226.695253
LBFGS:   36 23:24:40      -13.292424      212.678938
LBFGS:   37 23:24:40      -13.245031      199.648497
LBFGS:   38 23:24:40      -13.296815      208.561058
LBFGS:   39 23:24:40      -13.356120      220.203421
LBFGS:   40 23:24:40      -13.301160      204.214607
LBFGS:   41 23:24:40      -13.254521      190.315514
LBFGS:   42 23:24:40      -13.304020      201.164350
LBFGS:   43 23:24:40      -13.360010      215.270447
LBFGS:   44 23:24:40      -13.307166      197.932973
LBFGS:   45 23:24:40      -13.261671      183.133924
LBFGS:   46 23:24:40      -13.309021      195.686104
LBFGS:   47 23:24:40      -13.362000      211.657877
LBFGS:   48 23:24:40      -13.311448      193.281727
LBFGS:   49 23:24:40      -13.267417      177.510417
LBFGS:   50 23:24:40      -13.312636      191.552604
LBFGS:   51 23:24:40      -13.362794      208.970927
LBFGS:   52 23:24:40      -13.314596      189.737187
LBFGS:   53 23:24:40      -13.272212      172.987323
LBFGS:   54 23:24:40      -13.315352      188.328412
LBFGS:   55 23:24:40      -13.362903      206.883784
LBFGS:   56 23:24:40      -13.316987      186.926527
LBFGS:   57 23:24:40      -13.276297      169.242712
LBFGS:   58 23:24:40      -13.317481      185.698145
LBFGS:   59 23:24:40      -13.362680      205.158444
LBFGS:   60 23:24:40      -13.318880      184.591355
LBFGS:   61 23:24:40      -13.279817      166.069488
LBFGS:   62 23:24:41      -13.319222      183.474507
LBFGS:   63 23:24:41      -13.362342      203.655663
LBFGS:   64 23:24:41      -13.320440      182.572437
LBFGS:   65 23:24:41      -13.282881      163.323148
LBFGS:   66 23:24:41      -13.320702      181.529914
LBFGS:   67 23:24:41      -13.362000      202.300456
LBFGS:   68 23:24:41      -13.321777      180.781596
LBFGS:   69 23:24:41      -13.285572      160.915274
LBFGS:   70 23:24:41      -13.321990      179.798991
LBFGS:   71 23:24:41      -13.361702      201.045416
LBFGS:   72 23:24:41      -13.322951      179.153154
LBFGS:   73 23:24:41      -13.287962      158.770281
LBFGS:   74 23:24:41      -13.323141      178.227553
LBFGS:   75 23:24:41      -13.361463      199.865138
LBFGS:   76 23:24:41      -13.324006      177.655370
LBFGS:   77 23:24:41      -13.290099      156.841794
LBFGS:   78 23:24:41      -13.324183      176.783651
LBFGS:   79 23:24:41      -13.361285      198.746570
LBFGS:   80 23:24:41      -13.324968      176.265774
LBFGS:   81 23:24:41      -13.292032      155.090942
LBFGS:   82 23:24:41      -13.325139      175.442063
LBFGS:   83 23:24:41      -13.361165      197.677196
LBFGS:   84 23:24:41      -13.325853      174.966406
LBFGS:   85 23:24:41      -13.293785      153.490935
LBFGS:   86 23:24:41      -13.326020      174.186403
LBFGS:   87 23:24:41      -13.361094      196.651911
LBFGS:   88 23:24:41      -13.326677      173.746371
LBFGS:   89 23:24:41      -13.295392      152.019203
LBFGS:   90 23:24:41      -13.326842      173.005787
LBFGS:   91 23:24:41      -13.361072      195.664494
LBFGS:   92 23:24:42      -13.327448      172.591827
LBFGS:   93 23:24:42      -13.296866      150.659976
LBFGS:   94 23:24:42      -13.327613      171.891129
LBFGS:   95 23:24:42      -13.361085      194.712508
LBFGS:   96 23:24:42      -13.328176      171.498307
LBFGS:   97 23:24:42      -13.298227      149.396846
LBFGS:   98 23:24:42      -13.328341      170.830449
LBFGS:   99 23:24:42      -13.361135      193.789251
LBFGS:  100 23:24:42      -13.328862      170.455806
       Step     Time          Energy          fmax
LBFGS:    0 23:24:42       -8.088167      302.970638
LBFGS:    1 23:24:42       -8.799656      155.102298
LBFGS:    2 23:24:42       -8.941415       89.905448
LBFGS:    3 23:24:42       -9.045149       39.760187
LBFGS:    4 23:24:42       -9.012539      145.823093
LBFGS:    5 23:24:42       -9.055921       23.168718
LBFGS:    6 23:24:42       -9.052124       18.240265
LBFGS:    7 23:24:42       -9.064690       10.034546
LBFGS:    8 23:24:42       -9.071508        6.946284
LBFGS:    9 23:24:42       -9.074481        4.463987
LBFGS:   10 23:24:42       -9.080282        4.978395
LBFGS:   11 23:24:42       -9.098896       63.438173
LBFGS:   12 23:24:42       -9.091643        5.593670
LBFGS:   13 23:24:42       -9.102455        4.192310
LBFGS:   14 23:24:42       -9.126742        8.456923
LBFGS:   15 23:24:42       -9.116673        2.032441
LBFGS:   16 23:24:42       -9.122501        1.389306
LBFGS:   17 23:24:42       -9.141689        2.152318
LBFGS:   18 23:24:43       -9.147552        1.266664
LBFGS:   19 23:24:43       -9.154769       19.975558
LBFGS:   20 23:24:43       -9.151905       20.217163
LBFGS:   21 23:24:43       -8.907400       44.658474
LBFGS:   22 23:24:43       -9.128777       27.009465
LBFGS:   23 23:24:43       -9.153379       40.420466
LBFGS:   24 23:24:43       -9.128951       18.812887
LBFGS:   25 23:24:43       -9.147341       51.727403
LBFGS:   26 23:24:43       -9.133555       44.609176
LBFGS:   27 23:24:43       -9.161654       49.016785
LBFGS:   28 23:24:43       -9.157543       94.348018
LBFGS:   29 23:24:43       -9.151680       31.449307
LBFGS:   30 23:24:43       -9.155091        9.597063
LBFGS:   31 23:24:43       -9.155070        9.518089
LBFGS:   32 23:24:43       -9.155087        8.917866
LBFGS:   33 23:24:43       -9.155099        8.406591
LBFGS:   34 23:24:43       -9.155086        8.898967
LBFGS:   35 23:24:43       -9.155083        8.973445
LBFGS:   36 23:24:43       -9.155087        8.883123
LBFGS:   37 23:24:43       -9.155087        8.885182
LBFGS:   38 23:24:43       -9.155089        9.154358
LBFGS:   39 23:24:43       -9.155075       10.313906
LBFGS:   40 23:24:43       -9.154754       27.022736
LBFGS:   41 23:24:43       -9.157309       55.985038
LBFGS:   42 23:24:43       -9.062538       56.584077
LBFGS:   43 23:24:43       -9.168011       71.398108
LBFGS:   44 23:24:44       -9.155121       15.825241
LBFGS:   45 23:24:44       -9.157452       43.763477
LBFGS:   46 23:24:44       -9.155071       18.581830
LBFGS:   47 23:24:44       -9.154867       29.087261
LBFGS:   48 23:24:44       -9.155396       22.990896
LBFGS:   49 23:24:44       -9.158212       36.512121
LBFGS:   50 23:24:44       -9.154280       13.593172
LBFGS:   51 23:24:44       -9.106309       23.878811
LBFGS:   52 23:24:44       -9.153793        3.506365
LBFGS:   53 23:24:44       -9.154816        3.283554
LBFGS:   54 23:24:44       -9.154452        2.250974
LBFGS:   55 23:24:44       -9.154781        3.075368
LBFGS:   56 23:24:44       -9.154751        2.928144
LBFGS:   57 23:24:44       -9.154894        4.073412
LBFGS:   58 23:24:44       -9.154924        5.885367
LBFGS:   59 23:24:44       -9.152631       28.252947
LBFGS:   60 23:24:44       -9.154303        4.338323
LBFGS:   61 23:24:44       -9.155165        5.705141
LBFGS:   62 23:24:44       -9.155182        6.191784
LBFGS:   63 23:24:44       -9.155128        3.926616
LBFGS:   64 23:24:44       -9.159929       57.340317
LBFGS:   65 23:24:44       -9.166806       47.829253
LBFGS:   66 23:24:44       -9.160607       58.448016
LBFGS:   67 23:24:44       -9.155550       38.231781
LBFGS:   68 23:24:44       -9.153635       19.392366
LBFGS:   69 23:24:44       -9.153727       39.645056
LBFGS:   70 23:24:45       -8.919373       79.403561
LBFGS:   71 23:24:45       -8.954563       69.541643
LBFGS:   72 23:24:45       -9.094225       37.040845
LBFGS:   73 23:24:45       -9.148855       47.796094
LBFGS:   74 23:24:45       -9.091282       80.514596
LBFGS:   75 23:24:45       -9.146456       42.338448
LBFGS:   76 23:24:45       -9.163166       56.916605
LBFGS:   77 23:24:45       -9.160388       59.398501
LBFGS:   78 23:24:45       -9.166830       52.808565
LBFGS:   79 23:24:45       -9.172318       48.967502
LBFGS:   80 23:24:45       -9.172869       55.460563
LBFGS:   81 23:24:45       -9.166306       53.254413
LBFGS:   82 23:24:45       -9.168211       51.039466
LBFGS:   83 23:24:45       -9.182933       31.087390
LBFGS:   84 23:24:45       -9.174169       34.297414
LBFGS:   85 23:24:45       -9.086754       38.010466
LBFGS:   86 23:24:45       -9.152237       49.088997
