       Step     Time          Energy          fmax
LBFGS:    0 12:30:26       -7.071890      205.891958
LBFGS:    1 12:30:26       -7.363830       81.047583
LBFGS:    2 12:30:26       -7.530720       60.681575
LBFGS:    3 12:30:26       -7.633045       42.408510
LBFGS:    4 12:30:26       -7.670418       32.809262
LBFGS:    5 12:30:26       -7.696741       29.973750
LBFGS:    6 12:30:26       -7.702837       28.623332
LBFGS:    7 12:30:26       -7.708297       10.560482
LBFGS:    8 12:30:26       -7.709362        3.477246
LBFGS:    9 12:30:26       -7.710117        1.157986
LBFGS:   10 12:30:26       -7.710761        1.690482
LBFGS:   11 12:30:26       -7.711596        1.100740
LBFGS:   12 12:30:26       -7.712326        0.660933
LBFGS:   13 12:30:26       -7.715709        0.530885
LBFGS:   14 12:30:26       -7.719460        0.399204
LBFGS:   15 12:30:26       -7.723339        0.371365
LBFGS:   16 12:30:26       -7.729354        1.707298
LBFGS:   17 12:30:26       -7.726218        1.065590
LBFGS:   18 12:30:26       -7.729607        2.658280
LBFGS:   19 12:30:26       -7.722325        1.152092
LBFGS:   20 12:30:26       -7.715782        2.353815
LBFGS:   21 12:30:26       -7.725477        0.918357
LBFGS:   22 12:30:26       -7.728665        1.267389
LBFGS:   23 12:30:26       -7.732297        4.052667
LBFGS:   24 12:30:27       -7.726179        1.330251
LBFGS:   25 12:30:27       -7.724412        2.229916
LBFGS:   26 12:30:27       -7.734027        5.394551
LBFGS:   27 12:30:27       -7.713635        5.888715
LBFGS:   28 12:30:27       -7.736362        5.968138
LBFGS:   29 12:30:27       -7.713906        6.345100
LBFGS:   30 12:30:27       -7.736379        5.402683
LBFGS:   31 12:30:27       -7.736377        8.990984
LBFGS:   32 12:30:27       -7.735985        5.496767
LBFGS:   33 12:30:27       -7.711647       10.123538
LBFGS:   34 12:30:27       -7.736236        5.307543
LBFGS:   35 12:30:27       -7.738954        7.511678
LBFGS:   36 12:30:27       -7.735686        5.581162
LBFGS:   37 12:30:27       -7.708717       13.575189
LBFGS:   38 12:30:27       -7.735736        5.483305
LBFGS:   39 12:30:27       -7.741474        4.070281
LBFGS:   40 12:30:27       -7.732621       12.484716
LBFGS:   41 12:30:27       -7.741384        3.907734
LBFGS:   42 12:30:27       -7.739002        6.285972
LBFGS:   43 12:30:27       -7.738055        7.512815
LBFGS:   44 12:30:27       -7.738338        6.880393
LBFGS:   45 12:30:27       -7.713862       16.329199
LBFGS:   46 12:30:27       -7.739575        6.324760
LBFGS:   47 12:30:27       -7.742049        3.885307
LBFGS:   48 12:30:27       -7.735815       10.890429
LBFGS:   49 12:30:27       -7.741666        3.739339
LBFGS:   50 12:30:27       -7.740281        6.905237
LBFGS:   51 12:30:27       -7.739657        6.146112
LBFGS:   52 12:30:27       -7.730427       15.260544
LBFGS:   53 12:30:28       -7.740471        6.063476
LBFGS:   54 12:30:28       -7.742092        3.500684
LBFGS:   55 12:30:28       -7.732672        8.739297
LBFGS:   56 12:30:28       -7.741452        4.118508
LBFGS:   57 12:30:28       -7.739226        9.300004
LBFGS:   58 12:30:28       -7.741940        3.863945
LBFGS:   59 12:30:28       -7.737159        8.912676
LBFGS:   60 12:30:28       -7.741183        4.529509
LBFGS:   61 12:30:28       -7.737690       10.917248
LBFGS:   62 12:30:28       -7.741693        4.437406
LBFGS:   63 12:30:28       -7.742087        4.390382
LBFGS:   64 12:30:28       -7.728202       12.353284
LBFGS:   65 12:30:28       -7.738749        5.974204
LBFGS:   66 12:30:28       -7.742080        4.576118
LBFGS:   67 12:30:28       -7.740045        9.415139
LBFGS:   68 12:30:28       -7.742024        4.042879
LBFGS:   69 12:30:28       -7.742079        4.739403
LBFGS:   70 12:30:28       -7.742085        4.459903
LBFGS:   71 12:30:28       -7.740945       10.200177
LBFGS:   72 12:30:28       -7.742097        4.612599
LBFGS:   73 12:30:28       -7.742119        4.749844
LBFGS:   74 12:30:28       -7.729846       13.424849
LBFGS:   75 12:30:28       -7.742010        4.289466
LBFGS:   76 12:30:28       -7.741817        3.623608
LBFGS:   77 12:30:28       -7.741020        6.217358
LBFGS:   78 12:30:28       -7.741884        3.696735
LBFGS:   79 12:30:28       -7.739139       10.751594
LBFGS:   80 12:30:28       -7.741879        3.559899
LBFGS:   81 12:30:29       -7.741631        3.779659
LBFGS:   82 12:30:29       -7.741750        4.749203
LBFGS:   83 12:30:29       -7.741842        3.617971
LBFGS:   84 12:30:29       -7.741380        6.952869
LBFGS:   85 12:30:29       -7.742027        3.758524
LBFGS:   86 12:30:29       -7.742021        5.509594
LBFGS:   87 12:30:29       -7.742143        3.756446
LBFGS:   88 12:30:29       -7.741773        6.564280
LBFGS:   89 12:30:29       -7.742168        3.860316
LBFGS:   90 12:30:29       -7.742026        5.849392
LBFGS:   91 12:30:29       -7.742195        3.823142
LBFGS:   92 12:30:29       -7.741916        6.174749
LBFGS:   93 12:30:29       -7.742200        3.902692
LBFGS:   94 12:30:29       -7.742019        6.098142
LBFGS:   95 12:30:29       -7.742209        3.873785
LBFGS:   96 12:30:29       -7.741987        5.853040
LBFGS:   97 12:30:29       -7.742208        3.948189
LBFGS:   98 12:30:29       -7.742008        6.305334
LBFGS:   99 12:30:29       -7.742213        3.931717
LBFGS:  100 12:30:29       -7.742035        5.580962
       Step     Time          Energy          fmax
LBFGS:    0 12:30:29      -11.221822      773.360620
LBFGS:    1 12:30:29      -12.166823      580.231295
LBFGS:    2 12:30:29      -12.661694      586.304346
LBFGS:    3 12:30:29      -13.179300      515.159100
LBFGS:    4 12:30:30      -13.791041      362.321759
